id,smiles,notes,params_json
738986,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5N4,,
780175,C1=CC=C(C=C1)C(=O)C2=CC3=C(C=C2)N=C(N3)C4=NC5=CC=CC=C5C=C4,,
841361,C1=CC(=NC(=C1)C2=NC(=NN2)N)C3=NC(=NN3)N,,
848599,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3=CC=CC=N3,,
918269,COC1=C(C=C(C=C1)C2=NNC(=N2)C3=CC=CC=N3)OC,,
918270,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC=C(C=C3)O,,
918271,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC(=CC=C3)O,,
918272,COC1=CC(=CC(=C1OC)OC)C2=NNC(=N2)C3=CC=CC=N3,,
918273,C1=CC=NC(=C1)C2=NC(=NN2)C3=CN=CC=C3,,
918274,C1=CC=C(C(=C1)C2=NNC(=N2)C3=CC=CC=N3)O,,
918276,CC1=CC=C(C=C1)C2=NNC(=N2)C3=CC=CC=N3,,
918277,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC=C(C=C3)[N+](=O)[O-],,
918278,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC(=CC=C3)[N+](=O)[O-],,
918284,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC(=CC=C3)Br,,
938255,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3=NC4=CC=CC=C4C=C3,,
947740,C1=CC=NC(=C1)C2=NC3=C(N2)C=NC=C3,,
951283,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=N3)Cl,,
1084661,C1CCC(CC1)C(=O)NC2=CC3=C(C=C2)N=C(N3)C4=CC=CC=N4,,
1084666,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)NC(=O)C4=CC(=CC=C4)N,,
1084668,C1=CC=C(C(=C1)C(=O)NC2=CC3=C(C=C2)N=C(N3)C4=CC=CC=N4)F,,
1084672,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)NC(=O)C4=CC=CO4,,
1084681,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC3=C(C=C2)N=C(N3)C4=CC=CC=N4,,
1084688,C1=CC=C2C=C3C(=CC2=C1)NC(=N3)C4=CC=CC=N4,,
1160425,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)CC4=CC5=C(C=C4)N=C(N5)C6=CC=CC=N6,,
1270117,COC1=C(C=C(C=C1)C2=CC(=NC(=C2C#N)N)C3=NC4=CC=CC=C4N3)OC,,
1385968,C1=CC=C2C(=C1)NC(=[N+]2CC(=O)NN=CC3=C(C=C(C=C3)O)[O-])C4=CC=CC=N4,,
1385969,C1=CC=C2C(=C1)NC(=[N+]2CC(=O)NN=CC3=C(C=C(C=C3)O)O)C4=CC=CC=N4,,
1401363,CC[N+]1=C(NN=C1SCC2=CC=C(C=C2)C(=O)[O-])C3=CC=CC=N3,,
1401364,CC[N+]1=C(NN=C1SCC2=CC=C(C=C2)C(=O)O)C3=CC=CC=N3,,
1478738,C1=CC(=CC=C1SC2=C(N=CC(=C2)C(F)(F)F)C3=NC=NN3)Cl,,
1986922,COC1=CC=CC(=C1O)C=NNC(=O)C[N+]2=C(NC3=CC=CC=C32)C4=CC=CC=N4,,
2501092,C1=CC=C(C=C1)C2=NNC(=N2)C3=CC=CC=N3,,
2735278,C1=CC=NC(=C1)C(=[NH2+])N.[Cl-],,
2745926,C1=CC(=NC=C1C(F)(F)F)C(=N)N.Cl,,
2745927,C1=CC(=NC=C1C(F)(F)F)C(=N)N,,
2766702,C1=CC=NC(=C1)C2=[NH+]C(=C(C(=O)N2)C#N)OCCO.[Cl-],,
2779502,C1=CC=[N+](C(=C1)C(=N)N)[O-].Cl,,
2803172,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC=NC=C3,,
2843653,C1=CC=C(C=C1)C(=O)C2=CC3=C(C=C2)N=C(N3)C4=NC5=CC=CC=C5C=C4.O,,
3017830,C1=CC=NC(=C1)C2=NC3=C(N2)C=CC=C3[N+](=O)[O-],,
3051109,CCC1=CN=C(C=C1)C2=NC3=C(N2)C=C(C=C3)OC,,
3051110,CCC1=NC(=CC=C1)C2=NC3=C(N2)C=C(C=C3)OC,,
3058001,COC1=CC=CC(=N1)C2=NC3=CC=CC=C3N2,,
3153967,COC(=O)C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)N=C(N3)C4=CC=CC=N4,,
3161713,C1=CC=NC(=C1)C2=NC(=NN2)SCC3=CC=C(C=C3)Cl,,
3161714,C1=CC=C2C(=C1)N(C3=CC=CC=C3S2)C(=O)CSC4=NNC(=N4)C5=CC=CC=N5,,
3161715,C1=CC=NC(=C1)C2=NC(=NN2)SCC3=CC=C(C=C3)F,,
3161716,CC1=CC=C(C=C1)NC(=O)CSC2=NNC(=N2)C3=CC=CC=N3,,
3161717,C1=CC=NC(=C1)C2=NC(=NN2)SCC(=O)NC3=CC=C(C=C3)Cl,,
3161718,COC1=CC=CC=C1NC(=O)CSC2=NNC(=N2)C3=CC=CC=N3,,
3161719,C1CC2CC1CC2NC(=O)CSC3=NNC(=N3)C4=CC=CC=N4,,
3161720,C1=CC=NC(=C1)C2=NC(=NN2)SCC(=O)NC3=CC=C(C=C3)F,,
3161721,C1=CC=C(C(=C1)NC(=O)CSC2=NNC(=N2)C3=CC=CC=N3)F,,
